phi theta ratio
27.50  41.00 0.997871
27.50  43.00 0.997583
27.50  45.00 0.996862
27.50  47.00 0.996601
27.50  49.00 0.996223
27.50  51.00 0.994972
27.50  53.00 0.993608
27.50  55.00 0.991802
27.50  57.00 0.990498
27.50  59.00 0.988571
27.50  61.00 0.985539
27.50  63.00 0.982657
27.50  65.00 0.977536
27.50  67.00 0.972521
27.50  69.00 0.963025
27.50  71.00 0.953935
27.50  73.00 0.936862
27.50  75.00 0.919213
27.50  77.00 0.888067
27.50  79.00 0.846091
27.50  81.00 0.794959
27.50  83.00 0.709549
27.50  85.00 0.595122
27.50  87.00 0.437116
27.50  89.00 0.225000
32.50  1.00  1.000000
32.50  3.00  1.000000
32.50  5.00  1.000000
32.50  7.00  1.000000
32.50  9.00  1.000000
32.50  11.00 0.999992
32.50  13.00 0.999976
32.50  15.00 0.999976
32.50  17.00 0.999935
32.50  19.00 0.999853
32.50  21.00 0.999794
32.50  23.00 0.999749
32.50  25.00 0.999711
32.50  27.00 0.999628
32.50  29.00 0.999471
32.50  31.00 0.999281
32.50  33.00 0.999073
32.50  35.00 0.998853
32.50  37.00 0.998497
32.50  39.00 0.998357
32.50  41.00 0.997799
32.50  43.00 0.997216
32.50  45.00 0.996872
32.50  47.00 0.996196
32.50  49.00 0.995675
32.50  51.00 0.994402
32.50  53.00 0.993744
32.50  55.00 0.992025
32.50  57.00 0.989997
32.50  59.00 0.988568
32.50  61.00 0.985516
32.50  63.00 0.981704
32.50  65.00 0.977362
32.50  67.00 0.971144
32.50  69.00 0.963685
32.50  71.00 0.952843
32.50  73.00 0.939339
32.50  75.00 0.915937
32.50  77.00 0.885749
32.50  79.00 0.844661
32.50  81.00 0.792501
32.50  83.00 0.706937
32.50  85.00 0.591078
32.50  87.00 0.435278
32.50  89.00 0.225967
37.50  1.00  1.000000
37.50  3.00  1.000000
37.50  5.00  1.000000
37.50  7.00  1.000000
37.50  9.00  1.000000
37.50  11.00 0.999976
37.50  13.00 0.999976
37.50  15.00 0.999960
37.50  17.00 0.999855
37.50  19.00 0.999853
37.50  21.00 0.999769
37.50  23.00 0.999665
37.50  25.00 0.999583
37.50  27.00 0.999524
37.50  29.00 0.999392
37.50  31.00 0.999191
37.50  33.00 0.999036
37.50  35.00 0.998919
37.50  37.00 0.998285
37.50  39.00 0.998297
37.50  41.00 0.997993
37.50  43.00 0.997174
37.50  45.00 0.996915
37.50  47.00 0.995849
37.50  49.00 0.995256
37.50  51.00 0.994438
37.50  53.00 0.993415
37.50  55.00 0.992115
37.50  57.00 0.990370
37.50  59.00 0.987734
37.50  61.00 0.984529
37.50  63.00 0.981410
37.50  65.00 0.975881
37.50  67.00 0.971002
37.50  69.00 0.963551
37.50  71.00 0.951397
37.50  73.00 0.939104
37.50  75.00 0.917140
37.50  77.00 0.885319
37.50  79.00 0.843817
37.50  81.00 0.788090
37.50  83.00 0.707457
37.50  85.00 0.593110
37.50  87.00 0.436061
37.50  89.00 0.226760
42.50  1.00  1.000000
42.50  3.00  1.000000
42.50  5.00  1.000000
42.50  7.00  0.999992
42.50  9.00  1.000000
42.50  11.00 0.999984
42.50  13.00 0.999945
42.50  15.00 0.999976
42.50  17.00 0.999903
42.50  19.00 0.999870
42.50  21.00 0.999769
42.50  23.00 0.999648
42.50  25.00 0.999481
42.50  27.00 0.999498
42.50  29.00 0.999330
42.50  31.00 0.999119
42.50  33.00 0.998999
42.50  35.00 0.998759
42.50  37.00 0.998487
42.50  39.00 0.998040
42.50  41.00 0.997819
42.50  43.00 0.997131
42.50  45.00 0.996687
42.50  47.00 0.995668
42.50  49.00 0.994952
42.50  51.00 0.994122
42.50  53.00 0.992933
42.50  55.00 0.991703
42.50  57.00 0.989201
42.50  59.00 0.987499
42.50  61.00 0.984677
42.50  63.00 0.979854
42.50  65.00 0.976550
42.50  67.00 0.968712
42.50  69.00 0.961296
42.50  71.00 0.949622
42.50  73.00 0.934706
42.50  75.00 0.914909
42.50  77.00 0.884554
42.50  79.00 0.842169
42.50  81.00 0.784573
42.50  83.00 0.708596
42.50  85.00 0.589360
42.50  87.00 0.435867
42.50  89.00 0.225769
47.50  1.00  1.000000
47.50  3.00  1.000000
47.50  5.00  1.000000
47.50  7.00  1.000000
47.50  9.00  0.999992
47.50  11.00 0.999953
47.50  13.00 0.999960
47.50  15.00 0.999936
47.50  17.00 0.999887
47.50  19.00 0.999886
47.50  21.00 0.999769
47.50  23.00 0.999665
47.50  25.00 0.999498
47.50  27.00 0.999464
47.50  29.00 0.999189
47.50  31.00 0.999110
47.50  33.00 0.998889
47.50  35.00 0.998421
47.50  37.00 0.998063
47.50  39.00 0.997872
47.50  41.00 0.997555
47.50  43.00 0.997037
47.50  45.00 0.996622
47.50  47.00 0.995578
47.50  49.00 0.994822
47.50  51.00 0.993722
47.50  53.00 0.992844
47.50  55.00 0.991094
47.50  57.00 0.988686
47.50  59.00 0.987567
47.50  61.00 0.984516
47.50  63.00 0.981164
47.50  65.00 0.975746
47.50  67.00 0.970352
47.50  69.00 0.963619
47.50  71.00 0.949983
47.50  73.00 0.934666
47.50  75.00 0.915735
47.50  77.00 0.887904
47.50  79.00 0.843323
47.50  81.00 0.784384
47.50  83.00 0.705466
47.50  85.00 0.592387
47.50  87.00 0.437732
47.50  89.00 0.225795
52.50  1.00  1.000000
52.50  3.00  1.000000
52.50  5.00  1.000000
52.50  7.00  1.000000
52.50  9.00  1.000000
52.50  11.00 0.999992
52.50  13.00 0.999968
52.50  15.00 0.999928
52.50  17.00 0.999903
52.50  19.00 0.999796
52.50  21.00 0.999760
52.50  23.00 0.999740
52.50  25.00 0.999532
52.50  27.00 0.999489
52.50  29.00 0.999225
52.50  31.00 0.999002
52.50  33.00 0.998907
52.50  35.00 0.998656
52.50  37.00 0.998169
52.50  39.00 0.998020
52.50  41.00 0.997585
52.50  43.00 0.997005
52.50  45.00 0.996469
52.50  47.00 0.995992
52.50  49.00 0.995008
52.50  51.00 0.993877
52.50  53.00 0.992766
52.50  55.00 0.991211
52.50  57.00 0.989778
52.50  59.00 0.987505
52.50  61.00 0.985084
52.50  63.00 0.980377
52.50  65.00 0.975134
52.50  67.00 0.970401
52.50  69.00 0.959462
52.50  71.00 0.948870
52.50  73.00 0.933186
52.50  75.00 0.914832
52.50  77.00 0.883742
52.50  79.00 0.843209
52.50  81.00 0.785832
52.50  83.00 0.707682
52.50  85.00 0.591024
52.50  87.00 0.432906
52.50  89.00 0.225019
57.50  1.00  1.000000
57.50  3.00  1.000000
57.50  5.00  1.000000
57.50  7.00  1.000000
57.50  9.00  1.000000
57.50  11.00 0.999969
57.50  13.00 0.999960
57.50  15.00 0.999920
57.50  17.00 0.999919
57.50  19.00 0.999829
57.50  21.00 0.999736
57.50  23.00 0.999648
57.50  25.00 0.999524
57.50  27.00 0.999342
57.50  29.00 0.999242
57.50  31.00 0.999047
57.50  33.00 0.998907
57.50  35.00 0.998242
57.50  37.00 0.998130
57.50  39.00 0.997832
57.50  41.00 0.997076
57.50  43.00 0.996596
57.50  45.00 0.996317
57.50  47.00 0.995341
57.50  49.00 0.994564
57.50  51.00 0.993778
57.50  53.00 0.992424
57.50  55.00 0.990484
57.50  57.00 0.988820
57.50  59.00 0.986654
57.50  61.00 0.984108
57.50  63.00 0.979179
57.50  65.00 0.975987
57.50  67.00 0.969957
57.50  69.00 0.960993
57.50  71.00 0.951622
57.50  73.00 0.935597
57.50  75.00 0.914839
57.50  77.00 0.886929
57.50  79.00 0.842420
57.50  81.00 0.787023
57.50  83.00 0.708018
57.50  85.00 0.593644
57.50  87.00 0.434578
57.50  89.00 0.222916
62.50  1.00  1.000000
62.50  3.00  1.000000
62.50  5.00  1.000000
62.50  7.00  1.000000
62.50  9.00  1.000000
62.50  11.00 0.999984
62.50  13.00 0.999952
62.50  15.00 0.999928
62.50  17.00 0.999895
62.50  19.00 0.999706
62.50  21.00 0.999793
62.50  23.00 0.999648
62.50  25.00 0.999490
62.50  27.00 0.999273
62.50  29.00 0.999251
62.50  31.00 0.999047
62.50  33.00 0.998686
62.50  35.00 0.998449
62.50  37.00 0.998072
62.50  39.00 0.997723
62.50  41.00 0.997472
62.50  43.00 0.997077
62.50  45.00 0.995959
62.50  47.00 0.995463
62.50  49.00 0.993843
62.50  51.00 0.993039
62.50  53.00 0.992473
62.50  55.00 0.991165
62.50  57.00 0.989174
62.50  59.00 0.986516
62.50  61.00 0.983350
62.50  63.00 0.981842
62.50  65.00 0.976752
62.50  67.00 0.968587
62.50  69.00 0.962369
62.50  71.00 0.947621
62.50  73.00 0.936462
62.50  75.00 0.914935
62.50  77.00 0.884405
62.50  79.00 0.844057
62.50  81.00 0.781882
62.50  83.00 0.702023
62.50  85.00 0.591162
62.50  87.00 0.434842
62.50  89.00 0.223015
67.50  1.00  1.000000
67.50  3.00  1.000000
67.50  5.00  1.000000
67.50  7.00  1.000000
67.50  9.00  0.999992
67.50  11.00 0.999992
67.50  13.00 0.999968
67.50  15.00 0.999928
67.50  17.00 0.999895
67.50  19.00 0.999812
67.50  21.00 0.999661
67.50  23.00 0.999573
67.50  25.00 0.999396
67.50  27.00 0.999213
67.50  29.00 0.999092
67.50  31.00 0.998822
67.50  33.00 0.998686
67.50  35.00 0.998392
67.50  37.00 0.998110
67.50  39.00 0.997425
67.50  41.00 0.997085
67.50  43.00 0.996384
67.50  45.00 0.996175
67.50  47.00 0.995171
67.50  49.00 0.994050
67.50  51.00 0.993462
67.50  53.00 0.991977
67.50  55.00 0.990360
67.50  57.00 0.989338
67.50  59.00 0.986629
67.50  61.00 0.982557
67.50  63.00 0.980812
67.50  65.00 0.975458
67.50  67.00 0.969869
67.50  69.00 0.961456
67.50  71.00 0.954060
67.50  73.00 0.936342
67.50  75.00 0.917076
67.50  77.00 0.888029
67.50  79.00 0.843841
67.50  81.00 0.789407
67.50  83.00 0.707574
67.50  85.00 0.589469
67.50  87.00 0.429821
67.50  89.00 0.221605
72.50  1.00  1.000000
72.50  3.00  1.000000
72.50  5.00  1.000000
72.50  7.00  1.000000
72.50  9.00  0.999992
72.50  11.00 0.999961
72.50  13.00 0.999968
72.50  15.00 0.999904
72.50  17.00 0.999855
72.50  19.00 0.999780
72.50  21.00 0.999727
72.50  23.00 0.999522
72.50  25.00 0.999413
72.50  27.00 0.999083
72.50  29.00 0.999039
72.50  31.00 0.999056
72.50  33.00 0.998815
72.50  35.00 0.998392
72.50  37.00 0.997994
72.50  39.00 0.997534
72.50  41.00 0.996912
72.50  43.00 0.996446
72.50  45.00 0.995925
72.50  47.00 0.995270
72.50  49.00 0.994538
72.50  51.00 0.992975
72.50  53.00 0.992341
72.50  55.00 0.990115
72.50  57.00 0.988599
72.50  59.00 0.987150
72.50  61.00 0.984211
72.50  63.00 0.980294
72.50  65.00 0.974877
72.50  67.00 0.969035
72.50  69.00 0.959321
72.50  71.00 0.949049
72.50  73.00 0.936583
72.50  75.00 0.917124
72.50  77.00 0.884958
72.50  79.00 0.845745
72.50  81.00 0.788212
72.50  83.00 0.707777
72.50  85.00 0.599452
72.50  87.00 0.434376
72.50  89.00 0.220560
77.50  1.00  1.000000
77.50  3.00  1.000000
77.50  5.00  1.000000
77.50  7.00  1.000000
77.50  9.00  1.000000
77.50  11.00 0.999976
77.50  13.00 0.999937
77.50  15.00 0.999912
77.50  17.00 0.999903
77.50  19.00 0.999763
77.50  21.00 0.999669
77.50  23.00 0.999598
77.50  25.00 0.999319
77.50  27.00 0.999212
77.50  29.00 0.999224
77.50  31.00 0.998903
77.50  33.00 0.998511
77.50  35.00 0.998316
77.50  37.00 0.998004
77.50  39.00 0.997405
77.50  41.00 0.997053
77.50  43.00 0.996698
77.50  45.00 0.995783
77.50  47.00 0.995237
77.50  49.00 0.994153
77.50  51.00 0.993252
77.50  53.00 0.992365
77.50  55.00 0.990683
77.50  57.00 0.988985
77.50  59.00 0.986754
77.50  61.00 0.983742
77.50  63.00 0.980320
77.50  65.00 0.976348
77.50  67.00 0.969028
77.50  69.00 0.962869
77.50  71.00 0.950928
77.50  73.00 0.937461
77.50  75.00 0.915867
77.50  77.00 0.887315
77.50  79.00 0.845220
77.50  81.00 0.792431
77.50  83.00 0.707383
77.50  85.00 0.595174
77.50  87.00 0.433861
77.50  89.00 0.218804
82.50  1.00  1.000000
82.50  3.00  1.000000
82.50  5.00  1.000000
82.50  7.00  1.000000
82.50  9.00  1.000000
82.50  11.00 0.999984
82.50  13.00 0.999937
82.50  15.00 0.999936
82.50  17.00 0.999822
82.50  19.00 0.999829
82.50  21.00 0.999678
82.50  23.00 0.999506
82.50  25.00 0.999404
82.50  27.00 0.999290
82.50  29.00 0.998933
82.50  31.00 0.998750
82.50  33.00 0.998621
82.50  35.00 0.998194
82.50  37.00 0.997955
82.50  39.00 0.997582
82.50  41.00 0.996890
82.50  43.00 0.996718
82.50  45.00 0.995847
82.50  47.00 0.995011
82.50  49.00 0.994523
82.50  51.00 0.993578
82.50  53.00 0.992197
82.50  55.00 0.990957
82.50  57.00 0.988926
82.50  59.00 0.987695
82.50  61.00 0.984153
82.50  63.00 0.980815
82.50  65.00 0.975965
82.50  67.00 0.970659
82.50  69.00 0.960891
82.50  71.00 0.951619
82.50  73.00 0.937344
82.50  75.00 0.916541
82.50  77.00 0.888067
82.50  79.00 0.854378
82.50  81.00 0.792253
82.50  83.00 0.714363
82.50  85.00 0.595919
82.50  87.00 0.432796
82.50  89.00 0.214312
87.50  1.00  1.000000
87.50  3.00  1.000000
87.50  5.00  1.000000
87.50  7.00  1.000000
87.50  9.00  1.000000
87.50  11.00 0.999953
87.50  13.00 0.999976
87.50  15.00 0.999928
87.50  17.00 0.999871
87.50  19.00 0.999796
87.50  21.00 0.999735
87.50  23.00 0.999573
87.50  25.00 0.999566
87.50  27.00 0.999316
87.50  29.00 0.999083
87.50  31.00 0.999047
87.50  33.00 0.998419
87.50  35.00 0.998372
87.50  37.00 0.998244
87.50  39.00 0.997532
87.50  41.00 0.996930
87.50  43.00 0.996570
87.50  45.00 0.996117
87.50  47.00 0.995592
87.50  49.00 0.994592
87.50  51.00 0.993625
87.50  53.00 0.991969
87.50  55.00 0.991150
87.50  57.00 0.989197
87.50  59.00 0.986700
87.50  61.00 0.983811
87.50  63.00 0.980079
87.50  65.00 0.975744
87.50  67.00 0.969785
87.50  69.00 0.962660
87.50  71.00 0.952596
87.50  73.00 0.938194
87.50  75.00 0.916984
