phi theta ratio
117.50 77.00 0.893018
117.50 79.00 0.853475
117.50 81.00 0.796073
117.50 83.00 0.716835
117.50 85.00 0.600810
117.50 87.00 0.437608
117.50 89.00 0.218928
122.50 1.00  1.000000
122.50 3.00  1.000000
122.50 5.00  1.000000
122.50 7.00  1.000000
122.50 9.00  1.000000
122.50 11.00 0.999992
122.50 13.00 0.999992
122.50 15.00 0.999960
122.50 17.00 0.999919
122.50 19.00 0.999853
122.50 21.00 0.999785
122.50 23.00 0.999732
122.50 25.00 0.999634
122.50 27.00 0.999523
122.50 29.00 0.999294
122.50 31.00 0.999090
122.50 33.00 0.999061
122.50 35.00 0.998634
122.50 37.00 0.998339
122.50 39.00 0.997876
122.50 41.00 0.997721
122.50 43.00 0.997112
122.50 45.00 0.996221
122.50 47.00 0.995699
122.50 49.00 0.994770
122.50 51.00 0.994500
122.50 53.00 0.993170
122.50 55.00 0.992012
122.50 57.00 0.989804
122.50 59.00 0.987798
122.50 61.00 0.985908
122.50 63.00 0.982172
122.50 65.00 0.976920
122.50 67.00 0.971486
122.50 69.00 0.965315
122.50 71.00 0.954353
122.50 73.00 0.941562
122.50 75.00 0.923047
122.50 77.00 0.892720
122.50 79.00 0.855200
122.50 81.00 0.796528
122.50 83.00 0.718791
122.50 85.00 0.600179
122.50 87.00 0.438121
122.50 89.00 0.223863
127.50 1.00  1.000000
127.50 3.00  1.000000
127.50 5.00  1.000000
127.50 7.00  1.000000
127.50 9.00  1.000000
127.50 11.00 0.999992
127.50 13.00 1.000000
127.50 15.00 0.999984
127.50 17.00 0.999927
127.50 19.00 0.999902
127.50 21.00 0.999785
127.50 23.00 0.999799
127.50 25.00 0.999736
127.50 27.00 0.999549
127.50 29.00 0.999329
127.50 31.00 0.999072
127.50 33.00 0.998850
127.50 35.00 0.998982
127.50 37.00 0.998097
127.50 39.00 0.997935
127.50 41.00 0.997640
127.50 43.00 0.997196
127.50 45.00 0.996567
127.50 47.00 0.995867
127.50 49.00 0.994886
127.50 51.00 0.994170
127.50 53.00 0.992674
127.50 55.00 0.991532
127.50 57.00 0.990400
127.50 59.00 0.988718
127.50 61.00 0.985160
127.50 63.00 0.982387
127.50 65.00 0.978557
127.50 67.00 0.972242
127.50 69.00 0.965287
127.50 71.00 0.956147
127.50 73.00 0.940950
127.50 75.00 0.921951
127.50 77.00 0.889694
127.50 79.00 0.853097
127.50 81.00 0.794055
127.50 83.00 0.717509
127.50 85.00 0.599210
127.50 87.00 0.438507
127.50 89.00 0.226145
132.50 1.00  1.000000
132.50 3.00  1.000000
132.50 5.00  1.000000
132.50 7.00  1.000000
132.50 9.00  1.000000
132.50 11.00 0.999992
132.50 13.00 1.000000
132.50 15.00 0.999960
132.50 17.00 0.999943
132.50 19.00 0.999902
132.50 21.00 0.999868
132.50 23.00 0.999748
132.50 25.00 0.999719
132.50 27.00 0.999575
132.50 29.00 0.999514
132.50 31.00 0.999153
132.50 33.00 0.998749
132.50 35.00 0.998672
132.50 37.00 0.998290
132.50 39.00 0.998044
132.50 41.00 0.997487
132.50 43.00 0.997206
132.50 45.00 0.996708
132.50 47.00 0.995967
132.50 49.00 0.995084
132.50 51.00 0.994133
132.50 53.00 0.992799
132.50 55.00 0.991955
132.50 57.00 0.989731
132.50 59.00 0.988144
132.50 61.00 0.985620
132.50 63.00 0.982949
132.50 65.00 0.977219
132.50 67.00 0.972147
132.50 69.00 0.966630
132.50 71.00 0.955299
132.50 73.00 0.940903
132.50 75.00 0.921989
132.50 77.00 0.892700
132.50 79.00 0.855113
132.50 81.00 0.796504
132.50 83.00 0.712959
132.50 85.00 0.600612
132.50 87.00 0.439002
132.50 89.00 0.226146
137.50 1.00  1.000000
137.50 3.00  1.000000
137.50 5.00  1.000000
137.50 7.00  1.000000
137.50 9.00  0.999992
137.50 11.00 1.000000
137.50 13.00 1.000000
137.50 15.00 0.999968
137.50 17.00 0.999935
137.50 19.00 0.999910
137.50 21.00 0.999768
137.50 23.00 0.999815
137.50 25.00 0.999634
137.50 27.00 0.999575
137.50 29.00 0.999294
137.50 31.00 0.999225
137.50 33.00 0.998978
137.50 35.00 0.998746
137.50 37.00 0.998541
137.50 39.00 0.997945
137.50 41.00 0.997660
137.50 43.00 0.997038
137.50 45.00 0.996555
137.50 47.00 0.995742
137.50 49.00 0.995223
137.50 51.00 0.994144
137.50 53.00 0.993343
137.50 55.00 0.992128
137.50 57.00 0.989562
137.50 59.00 0.987937
137.50 61.00 0.985541
137.50 63.00 0.982329
137.50 65.00 0.978037
137.50 67.00 0.972219
137.50 69.00 0.964142
137.50 71.00 0.956491
137.50 73.00 0.941404
137.50 75.00 0.920191
137.50 77.00 0.891318
137.50 79.00 0.852786
137.50 81.00 0.794137
137.50 83.00 0.717489
137.50 85.00 0.600021
137.50 87.00 0.440826
137.50 89.00 0.222883
142.50 1.00  1.000000
142.50 3.00  1.000000
142.50 5.00  1.000000
142.50 7.00  1.000000
142.50 9.00  1.000000
142.50 11.00 1.000000
142.50 13.00 1.000000
142.50 15.00 0.999984
142.50 17.00 0.999968
142.50 19.00 0.999853
142.50 21.00 0.999835
142.50 23.00 0.999706
142.50 25.00 0.999702
142.50 27.00 0.999549
142.50 29.00 0.999347
142.50 31.00 0.999099
142.50 33.00 0.999052
142.50 35.00 0.998756
142.50 37.00 0.998483
142.50 39.00 0.997826
142.50 41.00 0.997659
142.50 43.00 0.996859
142.50 45.00 0.996610
142.50 47.00 0.996125
142.50 49.00 0.995047
142.50 51.00 0.994206
142.50 53.00 0.992696
142.50 55.00 0.991342
142.50 57.00 0.989936
142.50 59.00 0.987156
142.50 61.00 0.985743
142.50 63.00 0.981714
142.50 65.00 0.976844
142.50 67.00 0.971272
142.50 69.00 0.964742
142.50 71.00 0.952504
142.50 73.00 0.939231
142.50 75.00 0.920409
142.50 77.00 0.892778
142.50 79.00 0.853223
142.50 81.00 0.794285
142.50 83.00 0.711247
142.50 85.00 0.598650
142.50 87.00 0.438236
142.50 89.00 0.223553
147.50 1.00  1.000000
147.50 3.00  1.000000
147.50 5.00  1.000000
147.50 7.00  1.000000
147.50 9.00  0.999992
147.50 11.00 0.999992
147.50 13.00 0.999992
147.50 15.00 0.999952
147.50 17.00 0.999952
147.50 19.00 0.999910
147.50 21.00 0.999843
147.50 23.00 0.999723
147.50 25.00 0.999582
147.50 27.00 0.999575
147.50 29.00 0.999408
147.50 31.00 0.999162
147.50 33.00 0.998941
147.50 35.00 0.998709
147.50 37.00 0.998367
147.50 39.00 0.997816
147.50 41.00 0.997649
147.50 43.00 0.997079
147.50 45.00 0.996197
147.50 47.00 0.995629
147.50 49.00 0.994977
147.50 51.00 0.994107
147.50 53.00 0.992683
147.50 55.00 0.990969
147.50 57.00 0.989504
147.50 59.00 0.987626
147.50 61.00 0.985428
147.50 63.00 0.980985
147.50 65.00 0.976718
147.50 67.00 0.971636
147.50 69.00 0.963573
147.50 71.00 0.951693
147.50 73.00 0.938844
147.50 75.00 0.919522
147.50 77.00 0.890833
147.50 79.00 0.848675
147.50 81.00 0.791963
147.50 83.00 0.708984
147.50 85.00 0.593251
147.50 87.00 0.435899
147.50 89.00 0.222549
152.50 1.00  1.000000
152.50 3.00  1.000000
152.50 5.00  1.000000
152.50 7.00  1.000000
152.50 9.00  1.000000
152.50 11.00 1.000000
152.50 13.00 0.999976
152.50 15.00 0.999968
152.50 17.00 0.999895
152.50 19.00 0.999812
152.50 21.00 0.999826
152.50 23.00 0.999698
152.50 25.00 0.999429
152.50 27.00 0.999350
152.50 29.00 0.999223
152.50 31.00 0.999045
152.50 33.00 0.998960
152.50 35.00 0.998718
152.50 37.00 0.998241
152.50 39.00 0.997697
152.50 41.00 0.997211
152.50 43.00 0.996963
152.50 45.00 0.996652
152.50 47.00 0.995741
152.50 49.00 0.994510
152.50 51.00 0.993948
152.50 53.00 0.992377
152.50 55.00 0.990491
152.50 57.00 0.989824
152.50 59.00 0.987463
152.50 61.00 0.984095
152.50 63.00 0.981017
152.50 65.00 0.975668
152.50 67.00 0.970172
152.50 69.00 0.962176
152.50 71.00 0.950549
152.50 73.00 0.936040
152.50 75.00 0.917949
152.50 77.00 0.888906
152.50 79.00 0.849697
152.50 81.00 0.794809
152.50 83.00 0.713513
152.50 85.00 0.595252
152.50 87.00 0.433593
152.50 89.00 0.222198
157.50 1.00  1.000000
157.50 3.00  1.000000
157.50 5.00  1.000000
157.50 7.00  1.000000
157.50 9.00  1.000000
157.50 11.00 0.999992
157.50 13.00 0.999984
157.50 15.00 0.999968
157.50 17.00 0.999887
157.50 19.00 0.999820
157.50 21.00 0.999752
157.50 23.00 0.999748
157.50 25.00 0.999548
157.50 27.00 0.999402
157.50 29.00 0.999197
157.50 31.00 0.999144
157.50 33.00 0.998748
157.50 35.00 0.998474
157.50 37.00 0.998164
157.50 39.00 0.997816
157.50 41.00 0.997230
157.50 43.00 0.996763
157.50 45.00 0.996327
157.50 47.00 0.995246
157.50 49.00 0.994579
157.50 51.00 0.993487
157.50 53.00 0.992162
157.50 55.00 0.991235
157.50 57.00 0.989210
157.50 59.00 0.987360
157.50 61.00 0.983385
157.50 63.00 0.980716
157.50 65.00 0.976295
157.50 67.00 0.970352
157.50 69.00 0.960376
157.50 71.00 0.953350
157.50 73.00 0.935744
157.50 75.00 0.914935
157.50 77.00 0.889559
157.50 79.00 0.844911
157.50 81.00 0.793791
157.50 83.00 0.710928
157.50 85.00 0.592142
157.50 87.00 0.432802
157.50 89.00 0.215926
162.50 1.00  1.000000
162.50 3.00  1.000000
162.50 5.00  1.000000
162.50 7.00  1.000000
162.50 9.00  1.000000
162.50 11.00 1.000000
162.50 13.00 0.999992
162.50 15.00 0.999944
162.50 17.00 0.999863
162.50 19.00 0.999878
162.50 21.00 0.999735
162.50 23.00 0.999698
162.50 25.00 0.999472
162.50 27.00 0.999315
162.50 29.00 0.999170
162.50 31.00 0.998991
162.50 33.00 0.998822
162.50 35.00 0.998379
162.50 37.00 0.997942
162.50 39.00 0.997855
162.50 41.00 0.997394
162.50 43.00 0.996753
162.50 45.00 0.996044
162.50 47.00 0.995494
162.50 49.00 0.994743
162.50 51.00 0.993729
162.50 53.00 0.992301
162.50 55.00 0.990399
162.50 57.00 0.989318
162.50 59.00 0.986274
162.50 61.00 0.984028
162.50 63.00 0.979677
162.50 65.00 0.976190
162.50 67.00 0.969166
162.50 69.00 0.961139
162.50 71.00 0.949978
162.50 73.00 0.936789
162.50 75.00 0.916557
162.50 77.00 0.885565
162.50 79.00 0.844573
162.50 81.00 0.791261
162.50 83.00 0.713059
162.50 85.00 0.590444
162.50 87.00 0.428983
162.50 89.00 0.213703
167.50 1.00  1.000000
167.50 3.00  1.000000
167.50 5.00  1.000000
167.50 7.00  1.000000
167.50 9.00  1.000000
167.50 11.00 0.999984
167.50 13.00 0.999968
167.50 15.00 0.999960
167.50 17.00 0.999863
167.50 19.00 0.999796
167.50 21.00 0.999694
167.50 23.00 0.999631
167.50 25.00 0.999404
167.50 27.00 0.999263
167.50 29.00 0.999188
167.50 31.00 0.999027
167.50 33.00 0.998840
167.50 35.00 0.998295
167.50 37.00 0.998048
167.50 39.00 0.997975
167.50 41.00 0.997322
167.50 43.00 0.996753
167.50 45.00 0.995892
167.50 47.00 0.995347
167.50 49.00 0.994358
167.50 51.00 0.992977
167.50 53.00 0.992403
167.50 55.00 0.990106
167.50 57.00 0.988540
167.50 59.00 0.986434
167.50 61.00 0.983614
167.50 63.00 0.978684
167.50 65.00 0.974695
167.50 67.00 0.969247
167.50 69.00 0.962003
167.50 71.00 0.948663
167.50 73.00 0.935517
167.50 75.00 0.912103
167.50 77.00 0.885670
167.50 79.00 0.847447
167.50 81.00 0.785242
167.50 83.00 0.708623
167.50 85.00 0.590969
167.50 87.00 0.428571
167.50 89.00 0.210962
172.50 1.00  1.000000
172.50 3.00  1.000000
172.50 5.00  1.000000
172.50 7.00  1.000000
172.50 9.00  1.000000
172.50 11.00 0.999976
172.50 13.00 0.999960
172.50 15.00 0.999920
172.50 17.00 0.999887
172.50 19.00 0.999853
172.50 21.00 0.999735
172.50 23.00 0.999564
172.50 25.00 0.999446
172.50 27.00 0.999168
172.50 29.00 0.999055
172.50 31.00 0.998748
172.50 33.00 0.998555
172.50 35.00 0.998210
172.50 37.00 0.997749
172.50 39.00 0.997727
172.50 41.00 0.997088
172.50 43.00 0.996249
172.50 45.00 0.995557
172.50 47.00 0.994876
172.50 49.00 0.994253
172.50 51.00 0.993037
172.50 53.00 0.991897
172.50 55.00 0.990238
172.50 57.00 0.987844
172.50 59.00 0.985425
172.50 61.00 0.983070
172.50 63.00 0.978425
172.50 65.00 0.973937
172.50 67.00 0.966688
172.50 69.00 0.958719
172.50 71.00 0.947734
172.50 73.00 0.934199
172.50 75.00 0.912806
172.50 77.00 0.881691
172.50 79.00 0.843417
172.50 81.00 0.787649
172.50 83.00 0.705152
172.50 85.00 0.589314
172.50 87.00 0.421807
172.50 89.00 0.208270
177.50 1.00  1.000000
177.50 3.00  1.000000
177.50 5.00  1.000000
177.50 7.00  1.000000
177.50 9.00  1.000000
177.50 11.00 0.999984
177.50 13.00 0.999960
177.50 15.00 0.999888
177.50 17.00 0.999863
177.50 19.00 0.999845
177.50 21.00 0.999727
177.50 23.00 0.999614
177.50 25.00 0.999446
177.50 27.00 0.999203
177.50 29.00 0.999073
177.50 31.00 0.998739
177.50 33.00 0.998500
177.50 35.00 0.998229
177.50 37.00 0.997778
177.50 39.00 0.997449
177.50 41.00 0.996945
177.50 43.00 0.995859
177.50 45.00 0.995319
177.50 47.00 0.994817
177.50 49.00 0.993472
177.50 51.00 0.992867
177.50 53.00 0.991807
177.50 55.00 0.990596
177.50 57.00 0.987595
177.50 59.00 0.985660
177.50 61.00 0.981805
177.50 63.00 0.977574
177.50 65.00 0.972985
177.50 67.00 0.966367
177.50 69.00 0.958492
177.50 71.00 0.948065
177.50 73.00 0.932141
177.50 75.00 0.913359
177.50 77.00 0.882946
177.50 79.00 0.838429
177.50 81.00 0.782219
177.50 83.00 0.704968
177.50 85.00 0.585470
177.50 87.00 0.429659
177.50 89.00 0.202341
182.50 1.00  1.000000
182.50 3.00  1.000000
182.50 5.00  1.000000
182.50 7.00  1.000000
182.50 9.00  0.999992
182.50 11.00 1.000000
182.50 13.00 0.999968
182.50 15.00 0.999912
182.50 17.00 0.999887
182.50 19.00 0.999788
182.50 21.00 0.999710
182.50 23.00 0.999505
182.50 25.00 0.999378
182.50 27.00 0.999186
182.50 29.00 0.999012
182.50 31.00 0.998649
182.50 33.00 0.998252
182.50 35.00 0.998276
182.50 37.00 0.997768
182.50 39.00 0.997172
182.50 41.00 0.996609
182.50 43.00 0.996259
182.50 45.00 0.995567
182.50 47.00 0.995157
182.50 49.00 0.993694
182.50 51.00 0.992528
182.50 53.00 0.991113
182.50 55.00 0.989699
182.50 57.00 0.987225
182.50 59.00 0.985119
182.50 61.00 0.980901
182.50 63.00 0.977433
182.50 65.00 0.972031
182.50 67.00 0.965403
182.50 69.00 0.957600
182.50 71.00 0.945384
182.50 73.00 0.932697
182.50 75.00 0.907405
182.50 77.00 0.879111
182.50 79.00 0.838473
182.50 81.00 0.782416
182.50 83.00 0.697646
182.50 85.00 0.581299
182.50 87.00 0.426286
182.50 89.00 0.202635
187.50 1.00  1.000000
187.50 3.00  1.000000
187.50 5.00  1.000000
187.50 7.00  1.000000
187.50 9.00  0.999984
187.50 11.00 0.999976
187.50 13.00 0.999952
187.50 15.00 0.999976
187.50 17.00 0.999847
187.50 19.00 0.999845
187.50 21.00 0.999611
187.50 23.00 0.999455
187.50 25.00 0.999378
187.50 27.00 0.999116
187.50 29.00 0.998906
187.50 31.00 0.998677
187.50 33.00 0.998280
187.50 35.00 0.998069
187.50 37.00 0.997595
187.50 39.00 0.997291
187.50 41.00 0.996753
187.50 43.00 0.996029
187.50 45.00 0.995113
187.50 47.00 0.994314
187.50 49.00 0.993169
187.50 51.00 0.992009
187.50 53.00 0.990322
187.50 55.00 0.988734
187.50 57.00 0.987221
187.50 59.00 0.983913
187.50 61.00 0.981280
187.50 63.00 0.977954
187.50 65.00 0.971395
187.50 67.00 0.964761
187.50 69.00 0.956139
187.50 71.00 0.944297
187.50 73.00 0.928630
187.50 75.00 0.909491
187.50 77.00 0.879702
187.50 79.00 0.840777
187.50 81.00 0.780578
187.50 83.00 0.699594
187.50 85.00 0.584991
187.50 87.00 0.420138
187.50 89.00 0.206339
192.50 1.00  1.000000
192.50 3.00  1.000000
192.50 5.00  1.000000
192.50 7.00  1.000000
192.50 9.00  0.999992
192.50 11.00 0.999976
192.50 13.00 0.999945
192.50 15.00 0.999912
192.50 17.00 0.999790
192.50 19.00 0.999837
192.50 21.00 0.999702
192.50 23.00 0.999564
192.50 25.00 0.999250
192.50 27.00 0.999177
192.50 29.00 0.998914
192.50 31.00 0.998766
192.50 33.00 0.998353
192.50 35.00 0.997938
192.50 37.00 0.997827
192.50 39.00 0.996945
192.50 41.00 0.996691
192.50 43.00 0.995935
192.50 45.00 0.995200
192.50 47.00 0.994147
192.50 49.00 0.993020
192.50 51.00 0.992168
192.50 53.00 0.990825
192.50 55.00 0.989464
192.50 57.00 0.986590
192.50 59.00 0.984075
192.50 61.00 0.979097
192.50 63.00 0.977194
192.50 65.00 0.971242
192.50 67.00 0.966414
192.50 69.00 0.956368
192.50 71.00 0.945027
192.50 73.00 0.928631
192.50 75.00 0.907953
192.50 77.00 0.877156
192.50 79.00 0.836202
192.50 81.00 0.782990
192.50 83.00 0.698690
192.50 85.00 0.583076
192.50 87.00 0.420810
192.50 89.00 0.209291
197.50 1.00  1.000000
197.50 3.00  1.000000
197.50 5.00  1.000000
197.50 7.00  1.000000
197.50 9.00  1.000000
197.50 11.00 0.999984
197.50 13.00 0.999968
197.50 15.00 0.999952
197.50 17.00 0.999839
197.50 19.00 0.999755
197.50 21.00 0.999644
197.50 23.00 0.999488
197.50 25.00 0.999557
197.50 27.00 0.999272
197.50 29.00 0.998782
197.50 31.00 0.998632
197.50 33.00 0.998280
197.50 35.00 0.997985
197.50 37.00 0.997576
197.50 39.00 0.997054
197.50 41.00 0.996478
197.50 43.00 0.995663
197.50 45.00 0.995222
197.50 47.00 0.994261
197.50 49.00 0.992928
197.50 51.00 0.992082
197.50 53.00 0.990257
197.50 55.00 0.988766
197.50 57.00 0.987231
197.50 59.00 0.983600
197.50 61.00 0.980004
197.50 63.00 0.976254
197.50 65.00 0.969962
197.50 67.00 0.963981
197.50 69.00 0.955388
197.50 71.00 0.942457
197.50 73.00 0.926204
197.50 75.00 0.903825
197.50 77.00 0.876206
197.50 79.00 0.834433
197.50 81.00 0.774673
197.50 83.00 0.696247
197.50 85.00 0.576170
197.50 87.00 0.424212
197.50 89.00 0.210616
202.50 1.00  1.000000
202.50 3.00  1.000000
202.50 5.00  1.000000
202.50 7.00  1.000000
202.50 9.00  0.999992
202.50 11.00 0.999976
202.50 13.00 0.999952
202.50 15.00 0.999952
202.50 17.00 0.999814
202.50 19.00 0.999714
202.50 21.00 0.999595
202.50 23.00 0.999597
202.50 25.00 0.999302
202.50 27.00 0.998987
202.50 29.00 0.998897
202.50 31.00 0.998506
202.50 33.00 0.998234
202.50 35.00 0.997760
202.50 37.00 0.997596
202.50 39.00 0.996936
202.50 41.00 0.996407
202.50 43.00 0.995946
202.50 45.00 0.995103
202.50 47.00 0.994060
202.50 49.00 0.993150
202.50 51.00 0.991915
202.50 53.00 0.989945
202.50 55.00 0.987921
202.50 57.00 0.985984
202.50 59.00 0.983339
202.50 61.00 0.979947
202.50 63.00 0.974987
202.50 65.00 0.971045
202.50 67.00 0.963858
202.50 69.00 0.953895
202.50 71.00 0.943116
202.50 73.00 0.926045
202.50 75.00 0.903784
202.50 77.00 0.876320
202.50 79.00 0.835254
202.50 81.00 0.772577
202.50 83.00 0.692463
202.50 85.00 0.581683
202.50 87.00 0.421015
202.50 89.00 0.210750
207.50 1.00  1.000000
207.50 3.00  1.000000
207.50 5.00  1.000000
207.50 7.00  1.000000
207.50 9.00  0.999992
207.50 11.00 0.999969
207.50 13.00 0.999952
207.50 15.00 0.999904
207.50 17.00 0.999830
207.50 19.00 0.999739
207.50 21.00 0.999587
207.50 23.00 0.999556
207.50 25.00 0.999421
207.50 27.00 0.999047
207.50 29.00 0.998677
207.50 31.00 0.998569
207.50 33.00 0.998197
207.50 35.00 0.997976
207.50 37.00 0.997529
207.50 39.00 0.997104
207.50 41.00 0.996438
207.50 43.00 0.995580
207.50 45.00 0.994942
207.50 47.00 0.994138
207.50 49.00 0.992790
207.50 51.00 0.991723
207.50 53.00 0.990047
207.50 55.00 0.988465
207.50 57.00 0.986197
207.50 59.00 0.983523
207.50 61.00 0.980498
207.50 63.00 0.975789
207.50 65.00 0.970221
207.50 67.00 0.963463
207.50 69.00 0.954017
207.50 71.00 0.942543
207.50 73.00 0.926224
207.50 75.00 0.902358
207.50 77.00 0.875786
207.50 79.00 0.831911
207.50 81.00 0.776636
207.50 83.00 0.689554
207.50 85.00 0.575660
207.50 87.00 0.421625
207.50 89.00 0.211293
212.50 1.00  1.000000
212.50 3.00  1.000000
212.50 5.00  1.000000
212.50 7.00  0.999992
212.50 9.00  1.000000
212.50 11.00 0.999984
212.50 13.00 0.999952
212.50 15.00 0.999896
212.50 17.00 0.999847
212.50 19.00 0.999780
212.50 21.00 0.999620
212.50 23.00 0.999539
212.50 25.00 0.999387
212.50 27.00 0.999177
212.50 29.00 0.998827
212.50 31.00 0.998677
212.50 33.00 0.998317
212.50 35.00 0.997901
212.50 37.00 0.997529
212.50 39.00 0.996887
212.50 41.00 0.996419
212.50 43.00 0.995570
212.50 45.00 0.995278
212.50 47.00 0.994364
212.50 49.00 0.992665
212.50 51.00 0.991847
212.50 53.00 0.990377
212.50 55.00 0.988365
212.50 57.00 0.985921
212.50 59.00 0.983187
212.50 61.00 0.980217
212.50 63.00 0.976006
212.50 65.00 0.971492
212.50 67.00 0.963395
212.50 69.00 0.953404
212.50 71.00 0.943106
212.50 73.00 0.929106
212.50 75.00 0.903123
212.50 77.00 0.872228
212.50 79.00 0.827430
212.50 81.00 0.776064
212.50 83.00 0.695643
212.50 85.00 0.577007
212.50 87.00 0.417891
212.50 89.00 0.214627
217.50 1.00  1.000000
217.50 3.00  1.000000
217.50 5.00  1.000000
217.50 7.00  0.999992
217.50 9.00  0.999992
217.50 11.00 0.999976
217.50 13.00 0.999945
217.50 15.00 0.999888
217.50 17.00 0.999822
217.50 19.00 0.999763
217.50 21.00 0.999694
217.50 23.00 0.999556
217.50 25.00 0.999251
217.50 27.00 0.999290
217.50 29.00 0.999012
217.50 31.00 0.998542
217.50 33.00 0.998400
217.50 35.00 0.997882
217.50 37.00 0.997578
217.50 39.00 0.997015
217.50 41.00 0.996450
217.50 43.00 0.995781
217.50 45.00 0.995072
217.50 47.00 0.994007
217.50 49.00 0.993096
217.50 51.00 0.991847
217.50 53.00 0.990441
217.50 55.00 0.989301
217.50 57.00 0.985941
217.50 59.00 0.982841
217.50 61.00 0.981050
217.50 63.00 0.975906
217.50 65.00 0.970774
217.50 67.00 0.963693
217.50 69.00 0.953188
217.50 71.00 0.940523
217.50 73.00 0.924863
217.50 75.00 0.904025
217.50 77.00 0.873094
217.50 79.00 0.830898
217.50 81.00 0.772875
217.50 83.00 0.694840
217.50 85.00 0.576360
217.50 87.00 0.419695
217.50 89.00 0.216679
222.50 1.00  1.000000
222.50 3.00  1.000000
222.50 5.00  1.000000
222.50 7.00  1.000000
222.50 9.00  1.000000
222.50 11.00 0.999992
222.50 13.00 0.999976
222.50 15.00 0.999920
222.50 17.00 0.999830
222.50 19.00 0.999812
222.50 21.00 0.999669
222.50 23.00 0.999589
222.50 25.00 0.999378
222.50 27.00 0.999125
222.50 29.00 0.998809
222.50 31.00 0.998776
222.50 33.00 0.998519
222.50 35.00 0.997958
222.50 37.00 0.997530
222.50 39.00 0.997283
222.50 41.00 0.996195
222.50 43.00 0.996053
222.50 45.00 0.994673
222.50 47.00 0.994197
222.50 49.00 0.993144
222.50 51.00 0.991377
222.50 53.00 0.990670
222.50 55.00 0.988237
222.50 57.00 0.986179
222.50 59.00 0.983561
222.50 61.00 0.980153
222.50 63.00 0.976713
222.50 65.00 0.970560
222.50 67.00 0.964344
222.50 69.00 0.953743
222.50 71.00 0.942591
222.50 73.00 0.924982
222.50 75.00 0.902561
222.50 77.00 0.875562
222.50 79.00 0.835084
222.50 81.00 0.774257
222.50 83.00 0.690048
222.50 85.00 0.574011
222.50 87.00 0.419664
222.50 89.00 0.218972
227.50 1.00  1.000000
227.50 3.00  1.000000
227.50 5.00  1.000000
227.50 7.00  1.000000
227.50 9.00  0.999969
227.50 11.00 0.999976
227.50 13.00 0.999921
227.50 15.00 0.999936
227.50 17.00 0.999814
227.50 19.00 0.999788
227.50 21.00 0.999628
227.50 23.00 0.999505
227.50 25.00 0.999472
227.50 27.00 0.999290
227.50 29.00 0.998827
227.50 31.00 0.998749
227.50 33.00 0.998400
227.50 35.00 0.997996
227.50 37.00 0.997665
227.50 39.00 0.996829
227.50 41.00 0.996563
227.50 43.00 0.996054
227.50 45.00 0.995150
227.50 47.00 0.994187
227.50 49.00 0.993621
227.50 51.00 0.991983
227.50 53.00 0.991342
227.50 55.00 0.989386
227.50 57.00 0.986360
227.50 59.00 0.984119
227.50 61.00 0.979468
227.50 63.00 0.975874
227.50 65.00 0.972270
227.50 67.00 0.964355
227.50 69.00 0.953828
227.50 71.00 0.942261
227.50 73.00 0.925653
227.50 75.00 0.903155
227.50 77.00 0.872232
227.50 79.00 0.829730
227.50 81.00 0.770668
227.50 83.00 0.689720
227.50 85.00 0.581846
227.50 87.00 0.421718
227.50 89.00 0.219350
232.50 1.00  1.000000
232.50 3.00  1.000000
232.50 5.00  1.000000
232.50 7.00  1.000000
232.50 9.00  1.000000
232.50 11.00 0.999953
232.50 13.00 0.999968
232.50 15.00 0.999928
232.50 17.00 0.999895
232.50 19.00 0.999820
232.50 21.00 0.999678
232.50 23.00 0.999497
232.50 25.00 0.999447
232.50 27.00 0.999160
232.50 29.00 0.999021
232.50 31.00 0.998830
232.50 33.00 0.998538
232.50 35.00 0.998015
232.50 37.00 0.997704
232.50 39.00 0.997353
232.50 41.00 0.996990
232.50 43.00 0.995919
232.50 45.00 0.995616
232.50 47.00 0.994233
232.50 49.00 0.993285
232.50 51.00 0.992916
232.50 53.00 0.991003
232.50 55.00 0.989665
232.50 57.00 0.987069
232.50 59.00 0.984995
232.50 61.00 0.981928
232.50 63.00 0.977589
232.50 65.00 0.970467
232.50 67.00 0.963946
232.50 69.00 0.955830
232.50 71.00 0.943985
232.50 73.00 0.926832
232.50 75.00 0.904390
232.50 77.00 0.877169
232.50 79.00 0.830397
232.50 81.00 0.777348
232.50 83.00 0.692069
232.50 85.00 0.584989
232.50 87.00 0.421342
232.50 89.00 0.218853
237.50 1.00  1.000000
237.50 3.00  1.000000
237.50 5.00  1.000000
237.50 7.00  0.999992
237.50 9.00  0.999984
237.50 11.00 0.999953
237.50 13.00 0.999968
237.50 15.00 0.999928
237.50 17.00 0.999798
237.50 19.00 0.999763
237.50 21.00 0.999686
237.50 23.00 0.999581
237.50 25.00 0.999481
237.50 27.00 0.999195
237.50 29.00 0.999047
237.50 31.00 0.998830
237.50 33.00 0.998887
237.50 35.00 0.998240
237.50 37.00 0.997906
237.50 39.00 0.997275
237.50 41.00 0.996573
237.50 43.00 0.995982
237.50 45.00 0.995358
237.50 47.00 0.994873
237.50 49.00 0.993764
237.50 51.00 0.992774
237.50 53.00 0.990792
237.50 55.00 0.989641
237.50 57.00 0.987532
237.50 59.00 0.985567
237.50 61.00 0.981135
237.50 63.00 0.977080
237.50 65.00 0.971760
237.50 67.00 0.965687
