angle,reflectance
46.369892,1
46.448997,1
46.528,1
46.606903,1
46.6857,1
46.764393,1
46.842983,1
46.92148,1
46.999874,1
47.078167,1
47.156357,1
47.23445,1
47.31245,1
47.390347,1
47.468143,1
47.54585,1
47.62346,1
47.700974,1
47.778385,1
47.85571,1
47.932938,1
48.010067,1
48.087112,1
48.164055,1
48.240913,1
48.317673,1
48.39435,1
48.47093,1
48.547417,1
48.623817,1
48.700127,1
48.776352,1
48.85248,1
48.928524,1
49.00448,1
49.080353,1
49.156136,1
49.231827,1
49.307438,1
49.382957,1
49.4584,1
49.533752,1
49.60902,1
49.684204,1
49.759304,1
49.834328,1
49.909264,1
49.984116,1
50.058884,1
50.133575,1
50.208183,1
50.28271,1
50.357155,1
50.43152,1
50.50581,1
50.580017,1
50.654144,1
50.728195,1
50.802166,1
50.87606,1
50.94988,1
51.023617,1
51.097282,1
51.170868,1
51.24438,1
51.317814,1
51.391174,1
51.464455,1
51.53767,1
51.610806,1
51.683865,1
51.756855,1
51.82977,1
51.902615,1
51.975384,1
52.04808,1
52.120705,1
52.193264,1
52.265747,1
52.338154,1
52.410496,1
52.48277,1
52.554974,1
52.6271,1
52.699165,1
52.77116,1
52.843082,1
52.91494,1
52.98673,1
53.05845,1
53.130104,1
53.20169,1
53.27321,1
53.34466,1
53.41605,1
53.487366,1
53.558624,1
53.629814,1
53.700935,1
53.771996,1
53.842995,1
53.913925,1
53.98479,1
54.05559,1
54.126335,1
54.197014,1
54.267628,1
54.338177,1
54.408665,1
54.479095,1
54.54946,1
54.619762,1
54.690006,1
54.760185,1
54.83031,1
54.900368,1
54.97037,1
55.04031,1
55.110188,1
55.18001,1
55.249775,1
55.319477,1
55.389122,1
55.458714,1
55.52824,1
55.59771,1
55.66712,1
55.736477,1
55.80578,1
55.87502,1
55.944202,1
56.01333,1
56.0824,1
56.151424,1
56.22038,1
56.289288,1
56.358135,1
56.426933,1
56.49567,1
56.564354,1
56.632984,1
56.701565,1
56.770092,1
56.83856,1
56.906975,1
56.975334,1
57.043648,1
57.111904,1
57.18011,1
57.248264,1
57.31636,1
57.384415,1
57.45241,1
57.52035,1
57.58825,1
57.656086,1
57.723885,1
57.791626,1
57.85931,1
57.926952,1
57.99455,1
58.062088,1
58.129574,1
58.197018,1
58.264412,1
58.331757,1
58.399055,1
58.466297,1
58.5335,1
58.600647,1
58.667755,1
58.734806,1
58.80181,1
58.868767,1
58.93568,1
59.00255,1
59.069363,1
59.136135,1
59.202858,1
59.269543,1
59.33617,1
59.402756,1
59.469296,1
59.535797,1
59.602245,1
59.668648,1
59.735004,1
59.80132,1
59.86759,1
59.93382,1
60.000004,1
60.06614,1
60.132236,1
60.198284,1
60.26429,1
60.33025,1
60.396168,1
60.46205,1
60.52788,1
60.59367,1
60.659416,1
60.725124,1
60.790787,1
60.85641,1
60.92199,1
60.987526,1
61.05303,1
61.11848,1
61.18389,1
61.24927,1
61.314594,1
61.37989,1
61.44514,1
61.51035,1
61.575523,1
61.640656,1
61.705738,1
61.77079,1
61.8358,1
61.900776,1
61.965702,1
62.030598,1
62.09545,1
62.160267,1
62.225044,1
62.289783,1
62.354477,1
62.41914,1
62.48376,1
62.548347,1
62.612892,1
62.677402,1
62.74187,1
62.80631,1
62.870705,1
62.935066,1
62.99939,1
63.06368,1
63.12793,1
63.19214,1
63.256317,1
63.320457,1
63.38456,1
63.448635,1
63.512665,1
63.57666,1
63.64062,1
63.70455,1
63.768444,1
63.8323,1
63.89612,1
63.959908,1
64.02366,1
64.08738,1
64.151054,1
64.21471,1
64.27832,1
64.341896,1
64.40545,1
64.46896,1
64.53244,1
64.59589,1
64.659294,1
64.72268,1
64.786026,1
64.849335,1
64.91261,1
64.97586,1
65.039085,1
65.102264,1
65.16541,1
65.22853,1
65.29162,1
65.354675,1
65.417694,1
65.48068,1
65.54364,1
65.60657,1
65.66947,1
65.73234,1
65.795166,1
65.85797,1
65.92074,1
65.98348,1
66.046196,1
66.10888,1
66.171524,1
66.23414,1
66.29673,1
66.35929,1
66.42182,1
66.48432,1
66.54679,1
66.60924,1
66.671646,1
66.734024,1
66.79638,1
66.8587,1
66.921,1
66.98326,1
67.04551,1
67.10771,1
67.16989,1
67.23204,1
67.29417,1
67.35626,1
67.41833,1
67.48037,1
67.54237,1
67.60436,1
67.66631,1
67.72825,1
67.790146,1
67.85202,1
67.91387,1
67.97569,1
68.03748,1
68.09925,1
68.16099,1
68.222694,1
68.28438,1
68.34605,1
68.40768,1
68.46928,1
68.53087,1
68.59242,1
68.653946,1
68.71545,1
68.776924,1
68.83838,1
68.89981,1
68.961205,1
69.02258,1
69.08394,1
69.145256,1
69.20656,1
69.26783,1
69.32909,1
69.39031,1
69.45151,1
69.51269,1
69.57384,1
69.63497,1
69.69607,1
69.75715,1
69.81821,1
69.879234,1
69.94025,1
70.00123,1
