angle,reflectance
44.84639,0.90685725
44.927578,0.90682375
45.00865,0.90679014
45.089615,0.90675634
45.17046,0.9067224
45.25119,0.90668833
45.331806,0.9066541
45.41231,0.90661955
45.492714,0.906585
45.572998,0.90655017
45.65317,0.9065151
45.733234,0.90647995
45.81319,0.90644455
45.893047,0.9064091
45.972786,0.9063734
46.052418,0.9063374
46.131943,0.9063013
46.211365,0.906265
46.290684,0.90622866
46.369892,0.906192
46.448997,0.90615517
46.528,0.90611815
46.606903,0.90608096
46.6857,0.9060435
46.764393,0.906006
46.842983,0.9059682
46.92148,0.9059303
46.999874,0.90589213
47.078167,0.90585387
47.156357,0.9058154
47.23445,0.9057766
47.31245,0.90573776
47.390347,0.90569866
47.468143,0.9056593
47.54585,0.9056199
47.62346,0.9055803
47.700974,0.90554035
47.778385,0.9055003
47.85571,0.90546
47.932938,0.9054197
48.010067,0.90537894
48.087112,0.90533817
48.164055,0.905297
48.240913,0.90525585
48.317673,0.9052143
48.39435,0.90517277
48.47093,0.90513086
48.547417,0.9050889
48.623817,0.9050466
48.700127,0.9050042
48.776352,0.9049614
48.85248,0.90491855
48.928524,0.9048755
49.00448,0.90483224
49.080353,0.90478873
49.156136,0.90474516
49.231827,0.90470123
49.307438,0.904657
49.382957,0.90461266
49.4584,0.9045682
49.533752,0.9045234
49.60902,0.90447855
49.684204,0.90443337
49.759304,0.904388
49.834328,0.9043424
49.909264,0.9042966
49.984116,0.90425056
50.058884,0.9042043
50.133575,0.90415776
50.208183,0.90411127
50.28271,0.9040643
50.357155,0.9040171
50.43152,0.90396976
50.50581,0.90392226
50.580017,0.9038745
50.654144,0.9038265
50.728195,0.90377825
50.802166,0.9037298
50.87606,0.90368116
50.94988,0.90363216
51.023617,0.90358305
51.097282,0.9035337
51.170868,0.9034843
51.24438,0.9034343
51.317814,0.90338445
51.391174,0.903334
51.464455,0.9032836
51.53767,0.9032328
51.610806,0.90318197
51.683865,0.90313065
51.756855,0.90307915
51.82977,0.90302765
51.902615,0.9029757
51.975384,0.9029236
52.04808,0.90287113
52.120705,0.90281844
52.193264,0.90276575
52.265747,0.9027126
52.338154,0.9026592
